资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
数据分析师#20k-25k#[北京·西北旺]#经验5-10年 / 本科#亚信科技#“免费班车”#软件服务｜咨询
数据分析师#12k-24k#[苏州·工业园区]#经验1-3年 / 本科#瑞翼#“团队年轻，福利好，五险一金，双休”#营销服务｜咨询
数据分析师#9k-15k#[福州·鼓楼区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#7k-12k#[福州·鼓楼区]#经验1-3年 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#15k-30k#[北京]#经验3-5年 / 本科#字节跳动#“六险一金,团队氛围好,晋升空间大”#运营
资深数据分析师-飞书#25k-50k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,团队氛围好,带薪休假”#弹性工作
数据分析师-直播营收方向#25k-45k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,五险一金”#带薪年假
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
高级数据分析师（深圳） (MJ000046)#20k-35k#[深圳·科技园]#经验3-5年 / 硕士#百融云创#“发展空间大，福利好”#人工智能服务
数据分析师（接受实习）#5k-8k#[上饶·广信区]#经验不限 / 大专#江西涯戈陆驰环保科技有限公司#“五险一金,补充公积金,绩效奖金”#能源｜矿产｜环保
经营分析师/商业分析师/数据分析师#15k-20k#[深圳·西丽]#经验3-5年 / 本科#泊寓公寓#“周末双休、五险一金、青春活力”#软件服务｜咨询
高级数据分析师#27k-35k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“弹性工作时间”#回归算法
数据分析师（财富业务）#20k-30k#[北京·望京]#经验3-5年 / 硕士#百融云创#“发展前景好”#科技金融
数据分析师（投放策略）#30k-50k#[上海·洋泾]#经验3-5年 / 本科#微财数科#“六险一金 核心团队”#回归算法
高级数据分析师-直播业务（营收方向）#15k-30k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,团队氛围好”#弹性工作
资深数据分析师-飞书#25k-50k#[杭州·西湖区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,团队氛围好,带薪休假”#弹性工作
高级数据分析师（投放策略）#30k-50k#[北京·北下关]#经验5-10年 / 本科#微财数科#“六险一金、核心团队、发展空间大”#回归算法
高级数据分析师（成都） (MJ000412)#15k-28k#[成都·高新区]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定”#R
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
资深数据分析师（深圳-推荐搜索流量ABT） (MJ010311)#25k-45k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“氛围年轻 发展前景广 平台空间大 机遇挑战多”#电商平台
高级数据分析师（北京） (MJ000047)#25k-35k#[北京·朝阳区]#经验3-5年 / 硕士#百融云创#“成长空间大，平台稳定”#人工智能服务
大数据分析师#7k-12k#[长沙·芙蓉区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师(投放)#20k-40k#[北京·朝外]#经验1-3年 / 本科#五八同城信息技术有限公司#“发展空间大”#内容社区
BI数据分析师#15k-25k#[北京·望京]#经验1-3年 / 硕士#Castbox#“出海文化 扁平管理”#深度学习
（BI)高级/资深数据分析师#30k-40k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“股东平台交流机会、发展空间大、弹性工作”#数据运营
风险数据分析师#20k-30k#[深圳·大冲]#经验3-5年 / 本科#小花科技#“平台稳定、个人成长空间大”#科技金融
资深/高级数据分析师-HE4997#20k-35k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,发展前景好”#IT/互联网-新闻资讯
高级/资深数据分析师（推荐业务）#30k-40k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“电商独角兽”#ab test
数据分析师（接受实习）#5k-8k#[邯郸·丛台区]#经验不限 / 大专#司路得#“定期体检,员工旅游,弹性工作”#制造业
数据分析师#6k-9k#[广州·天河区]#经验3-5年 / 本科#彩讯股份#“双休”#软件服务｜咨询
数据分析师#7k-12k#[贵阳·云岩区]#经验1-3年 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
