岗位名称,岗位类别,岗位职责,岗位要求,工作地点,入职部门,详情页链接
云服务解决方案专员,云服务族,1、负责在政企行业的售前咨询、技术方案交流及上云机会点洞察，项目需求分析、方案设计等工作； 2、负责本行业云解决方案格局和机会点管理，制定拓展策略，实现重大项目成功和格局份额领先； 3、深入行业洞察，识别客户关键需求，孵化和挖掘新机会点，推动可参与空间的扩大。,一、专业知识: 1.、熟悉一个或多个领域的功能、原理、架构：公有云、私有云、Openstack、IaaS、PaaS、大数据、SDN、IOT、AI等； 2、相关行业云解决方案经验者优先；  3、具备重大项目上云解决方案设计经验，具备项目支撑和客户技术方案交流能力者优先，具备IT领域软件技术规划经验和架构设计者优先。 4、有相关行业的IT部门虚拟化、云化等项目规划、实施、运维经验优先。 5、持有CCIE、HCIE/HCIP/HCIA认证者优先。 二、技能要求: 1、通过学习迅速掌握并能够应用HCS以及云的基本知识，能够理解并应用产品域解决方案 2、需求理解和云解决方案设计能力：能够理解客户需求，完成相关解决方案设计，包括配置报价、技术建议书等 3、项目运作能力：能够跟踪线索和机会点，参与项目策略制定，达成项目成功 4、有重大项目运作经验，沟通协同能力强优先。 三、教育背景要求：本科及以上,中国/北京,中国云政企云行业解决方案销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16891&dataSource=1
清关工程师,供应链族,海关进出口业务的履行人员，根据进出口业务流程，承担一般贸易进出口、特殊贸易、保税业务等业务履行职责，以及清关协调等，保障进出口通道顺畅安全。  1. 进出口业务履行，包括流程作业、子公司资质管理、保函管理、暂时进出口、税费处理、VMI仓库的备案、出口归类、申报要素评审等 2. 与上下游协同，协调解决日常履行的业务问题，比如急单响应、清关协调等。 3. 参与海关审计等端到端的单据准备；,海关业务场景适配及优化能力、沟通与影响力。 熟悉基础知识理念及应用，如国际贸易、海关遵从基础知识等；了解公司相关产品知识、进出口工作流程及操作指导等。,中国/东莞,中国进出口部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16803&dataSource=1
数字能源合作伙伴拓展与运营代表,销售族,主要对接一般NA客户，客户关系规划，客户关系柘展，客户满意度管理。 理解客户需求，协助设计匹配解决方案，进行项目预箅和方案引导。 中小销售项目的主导者，协助制定项目策略，协调内外部资源，端到揣全流程监控和执行项目，做好竞争管理及项目风险管理。 ,一、语言要求: 简体中文 二、教育背景要求: 本科及以上，一年及以上工作经验 三、技能要求: 拓展并维护合作伙伴，对地市商业市场、分销业务销售、品牌目标达成负责   四、知识要求: 1、洞察识别所负责领域/行业数字能源伙伴体系，简历维护合作伙伴地图 2、负责建立、、拓展并维护合作伙伴关系 3、对商业市场/分销业务的伙伴销售目标负责  ,中国/北京,中国数字能源数字政府行业拓展部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16628&dataSource=1
计划工程师(Planning Engineer),供应链族,根据要货预测、产品供应能力等，制定S&OP建议计划、主计划/物料需求计划/加工计划建议、供应中心分销计划，支撑决策并落地执行，基于供需形势及产品切换路标，负责某特定产品系列或物料类别的计划例行运作（含供需信息收集、计划参数维护、计划制定、存货数据分析等），支撑计划决策，并落地执行。 1. 在供应连续性的策略指导下，收集市场需求、产品切换方案，基于供应能力，制定S&OP建议计划；制定可执行的主计划/物料需求计划/加工计划建议、供应中心分销计划，驱动制造及供应商资源准备； 2. 跟进产品/器件等供需风险及管控措施，针对异常及时通报反馈； 3. 跟踪各产品、区域计委的任务执行，协调问题的解决，确保计划及策略有效执行； 4. 维护计划参数、监控计划达成情况，持续提升计划工作质量； 5. 根据各产品存货经营指引、存货管理策略等，通过数据分析，识别存货风险，协助制定存货管理方案并落地执行。,语言要求：简体中文 教育背景要求：本科及以上 技能要求： ▪  熟练掌握计划制定方法，及产品供需平衡能力兑现管理方式、方法； ▪  熟练掌握生产存货效率提升方法。 能力和知识要求： ▪  具备相关领域的产品知识，熟悉产品配置特点、了解供需形势及演进方向； ▪  熟悉计划领域业务知识、流程及周边业务协同关系； ▪  了解产品供应保障策略及生产存货策略及计划排产逻辑。,中国/东莞,加工计划部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16774&dataSource=1
采购履行助理(Procurement Fulfillment Assistant),采购族,标准职责: 承担L4一般品类原材料的供应保障工作，识别和管理供应风险，执行和落地供应策略，保障原材料的及时高效供应。 1. 承担L4一般品类物料采购履行工作。负责PO下单、到货及逆向、验收付款等PO全生命周期管理； 2. 通过供需匹配识别供应风险，及时预警并推动解决；管理供应商三级备货等策略执行，支撑供应保障策略落地； 3. 及时识别和预警供应商关停并转、突发事件等导致的供应风险，推动供应保障措施制定，确保供应保障措施的执行落地； 4. 基于供应商交付绩效结果，组织对供应商进行供应绩效评估及沟通，跟踪完成供应商绩效沟通和整改；   5. 了解所负责品类供应商的交付体系审核条款，并通过对供应商进行交付流程、IT系统、BCG/内控等系统化的基础赋能，提升交付能力及协同效率； 6. 通过供应商沟通协同，达到供需平衡，使库存达到良好水平，有效降低不良存货。 自定义职责: /,语言要求：简体中文 教育背景要求：本科、硕士 技能要求: ▪  掌握原材料品类供应保障方法； ▪  掌握存货管理策略、存货管理方法； 能力和知识要求： ▪  熟悉相应器件制程、工艺、KSP、供应路径、产业链布局等关键供应要素，了解行业发展形势，掌握采购商业环境和商务模式，熟悉当地法律法规和国际贸易及进出口知识； ▪  熟练掌握采购领域端到端业务知识、流程及周边业务协同关系； ▪  熟悉产品策略、市场策略和商业模式相关知识； ,中国/东莞,线缆及辅料采购履行部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16786&dataSource=1
采购履行工程师,采购族,承担复杂品类原材料的供应保障工作，识别和管理供应风险，组织制定措施并推动解决，保障原材料的及时高效供应；针对跨品类的需求变化及供应风险，制定供应保障措施并推动落地；协助制定多品类原材料存货管理方案并落地执行。 1. 承担复杂品类采购履行工作，负责PO下单、到货及逆向、验收付款等PO全生命周期管理； 2. 管理物料供应能力，基于供需缺口，审视关键原材料、设备产能、人力等关键瓶颈，识别高风险欠料、及时预警并推动解决； 3. 及时识别供应商关停并转、突发事件等导致的供应风险，组织制定措施并推动问题解决，降低影响； 4. 参与DSA审核，识别交付体系短板，辅导供应商完善交付体系；组织重点供应商供应协同，针对供应问题、供应能力提升事项进行有效沟通； 5. 分析供应商交付绩效差距并组织制定改善措施，牵引供应商绩效持续改进； 6. 管理供应商备货策略落地，预警和管理原材料存货风险，通过协同优化业务模式，提升原材料存货效率。 ,语言要求：简体中文 教育背景要求：本科 能力和技能要求: ▪  熟练掌握原材料品类供应保障方法； ▪  熟练掌握存货管理策略、存货管理方法。 知识要求: ▪  熟悉相应器件制程、工艺、KSP、供应路径、产业链布局等关键供应要素，了解行业发展形势，掌握采购商业环境和商务模式，熟悉当地法律法规和国际贸易及进出口知识； ▪  熟练掌握采购领域端到端业务知识、流程及周边业务协同关系； ▪  熟悉产品策略、市场策略和商业模式相关知识。,中国/东莞,JDM及ODM采购履行部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16780&dataSource=1
计划工程师(Planning Engineer),供应链族,根据要货预测、产品供应能力等，制定S&OP建议计划、主计划/物料需求计划/加工计划建议、供应中心分销计划，支撑决策并落地执行，基于供需形势及产品切换路标，负责某特定产品系列或物料类别的计划例行运作（含供需信息收集、计划参数维护、计划制定、存货数据分析等），支撑计划决策，并落地执行。 1. 在供应连续性的策略指导下，收集市场需求、产品切换方案，基于供应能力，制定S&OP建议计划；制定可执行的主计划/物料需求计划/加工计划建议、供应中心分销计划，驱动制造及供应商资源准备； 2. 跟进产品/器件等供需风险及管控措施，针对异常及时通报反馈； 3. 跟踪各产品、区域计委的任务执行，协调问题的解决，确保计划及策略有效执行； 4. 维护计划参数、监控计划达成情况，持续提升计划工作质量； 5. 根据各产品存货经营指引、存货管理策略等，通过数据分析，识别存货风险，协助制定存货管理方案并落地执行。,语言要求：简体中文 教育背景要求：本科、硕士 技能要求: ▪  熟练掌握计划制定方法，及产品供需平衡能力兑现管理方式、方法； ▪  熟练掌握生产存货效率提升方法。 能力和知识要求: ▪  具备相关领域的产品知识，熟悉产品配置特点、了解供需形势及演进方向； ▪  熟悉计划领域业务知识、流程及周边业务协同关系； ▪  了解产品供应保障策略及生产存货策略及计划排产逻辑。 ,中国/东莞,无线网络产品主生产计划部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16768&dataSource=1
质量运营专员(Quality & Operations Specialist),质量与流程IT族,1、负责质量体系建设和运作，供应链持续改进平台建设、持续改进能力提升；管理本组织的持续改进活动，输出持续改进项目清单和本组织持续改进报告；培训和辅导持续改进方法，评估改进过程规范性和改进结果； 2、应用质量工程方法，指导各个业务领域的改进团队实施改进项目，解决业务痛点问题； 3、负责组织回溯问题、投诉的根因，制定有效的临时措施和长期措施，对问题和投诉的解决结果负责；主动发现供应链领域共性问题点，成立专项改进小组，解决质量问题。,"语言要求：简体中文,英语 教育背景要求：本科，硕士 经验要求： 1、具备流程/变革/质量运营领域3年以上经验； 2、具备供应链业务相关经验优先。 知识要求：供应链业务概论，流程质量理论方法，工具",中国/东莞,供应链流程质量部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16762&dataSource=1
合同商务助理,销售族,1、协助支撑合同生成管理，推动合同质量计划落实并进行风险管理； 2、基于公司和地区部授权和行权规则，指导代表处MAE和MCE流程执行，支撑SDT主动化运作及分析总结，支撑相关流程和管理要求的落地以及PR/SACA等工作； 3、负责合同履约管理、跟踪项目风险闭环/假设兑现，协助管理合同变更、开票、关闭等活动规范性,1.工作经验1年以上，具备较强的沟通协调能力； 2.熟悉Office办公软件的使用；,中国/北京,中国数字能源智能光伏拓展部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16669&dataSource=1
合同商务助理,销售族,标准职责: 管理渠道进销存管理：总经销商／合作伙伴POS信息管理；Sl质量管理。 行权与内控支撑．商务行权支撑，日常内控管理。 伙伴业绩：核算伙伴业绩，伙伴业绩对账与公示，业绩转移/合并等评审。 伙伴激励：激励政策评审、伙伴激励核算与对账，激励异常、回溯执行。 ,一、语言要求: 简体中文 二、教育背景要求: 本科及以上学历，一年及以上工作经验。 三、技能要求: 项目运作能力、交易管理能力、沟通、理解、执行能力、本业务领域专业、专注，敢于挑战 四、知识要求: 了解销售渠道管理相关产品，有ICT经验背景优先 ,中国/西安,中国数字能源数据中心能源拓展部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16618&dataSource=1
合作伙伴拓展与运营代表,销售族,标准职责: 1、对整体/大型区域商业市场、分销业务的销售、品牌目标的达成负责，独立承担合作伙伴体系建设与管理工作 2、管理并动态维护本区域的合作伙伴地图，独立承担区域核心伙伴的拓展，负责合作伙伴政策的执行落地并输出合理的优化建议 3、协调/整和合作伙伴赋能/营销资源，制定区域合作伙伴能力与营销规划，帮助伙伴提升能力，支撑伙伴营销活动开展 4、负责合作伙伴运营，主要包括注册、认证、授权函、通路管理、合作异常管理、内控等工作，定期输出相关报告 ,一、语言要求:简体中文 二、教育背景要求:本科及以上，三年及以上工作经验。 三、技能要求: 拓展并维护合作伙伴，对地市商业市场、分销业务销售、品牌目标达成负责 四、知识要求: 1、洞察识别所负责领域/行业数字能源伙伴体系，简历维护合作伙伴地图 2、负责建立、、拓展并维护合作伙伴关系 3、对商业市场/分销业务的伙伴销售目标负责,中国/西安,中国数字能源数据中心合作伙伴发展部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16623&dataSource=1
解决方案专员,营销族,负责华为无线产品与解决方案在运营商客户的市场营销与拓展，执行市场拓展策略并达成目标要求，有效支撑项目拓展： 1、负责本领域产品项目管理，推动集团和省份项目规范化运作； 2、负责无线网络数据分析，趋势洞察，技术演进规划； 3、支撑无线产品解决方案方案制定，客户技术咨询、沟通、交流等,1、本科学历及以上，计算机、软件、通信、电子等信息技术相关专业； 2、3年以上的无线方案设计、销售项目运作等行业从业经验； 3、深入了解4G/5G/5G-A解决方案优先； 4、具备良好的沟通协调能力。,中国/北京,移动系统部无线网络与云核心网解决方案销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16408&dataSource=1
解决方案专员,营销族,【工作职责】 1、负责重大营销活动，组织营销资料开发，营销活动资源管理及分配； 2、负责配合集团政企和组织全国培训、专项营销案的编制和发布，负责日常与集团政企和市场部做好协同工作和信息及时同步，确保协作高效执行； 3、负责标杆案例收集整理和宣传工作，推动标杆案例在全国进行复制； 4、负责制定培训计划，组织编制培训材料，负责培训安排相关工作； 5、负责组织区域客户经理和产品经理做好日常协同工作。,【任职要求】 1、大学本科及以上学历，有3年以上ICT从业经历。 2、积极主动，有责任感，具备较强的执行力，对结果负责，最终问题快速闭环。 3、 具有外部的跨部门沟通能力和团队合作意识，与周边团队有效沟通良好。 4、 具备行业客户、业务系统沟通交流能力。 ,中国/苏州,移动系统部运营商IT解决方案销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16390&dataSource=1
解决方案专员,营销族,负责运营商客户的市场营销与拓展： 1、负责本领域产品项目管理，推动集团和省份项目规范化运作； 2、支撑IT产品解决方案方案制定，客户技术咨询、沟通、交流等；,1、本科学历及以上，计算机、软件、通信、电子等信息技术相关专业； 2、有一定的解决方案设计、销售项目运作等行业从业经验； 3、具备良好的沟通协调能力。,中国/北京,移动系统部运营商IT解决方案销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16482&dataSource=1
灵衢OS优化技术高级专家,研发族,负责定义灵衢架构下面向鲲鹏、昇腾、HPC等各计算领域交付的OS目标架构、关键技术和竞争力提升策略，并负责基础软件的关键架构的设计和落地，确保架构竞争力领先。 1、技术战略规划：制定和执行计算领域操作系统相关技术发展的长远战略，确保技术路线图与各领域产品市场需求和长期愿景保持一致； 2、技术架构设计与优化：通过对各领域典型应用场景的理解和分析，精准把握灵衢架构下操作系统的技术特征及发展趋势，完成OS整体架构设计和优化，确保系统安全性、性能和可扩展性达到最高水平，提升软件平台竞争力； 3、技术影响力建设：积极参与内外部开源社区，推动操作系统相关项目的开发和改进，增强在公司和开源领域的影响力和声誉，并为管理层、周边协作团队提供本领域技术咨询和战略建议，解决复杂的技术挑战和问题；  4、技术领导与团队管理：持续构建操作系统领域的技术体系，领导和指导相关技术团队，打造一支能创新、敢担责，技术过硬，能对本领域竞争力领先和商业成功负责的专家队伍。,岗位要求： 1、熟悉内核组件（进程调度/进程间通信/内存/文件系统/网络接口等）、熟悉主流操作系统发行版（Ubuntu/Debian/CentOS/Redhat/OpenSUSE等）中的一种或多种；熟悉C/C++/Java/Python/Go/Rust等编程语言的一种或多种； 2、熟悉内核架构、处理器微架构、缓存单元、内存控制器、PCIE等关键模块中的一种或多种，具备深厚的理论基础； 3、熟悉计算机体系架构，熟悉X86/ARM/GPU/CPU等体系架构，10年及以上操作系统研究和设计经验，具有操作系统内核及相关驱动调优经验，在学术界或者工业界有开创性的成果，相关成果被Linux社区接纳合并者优先考虑； 4、具备技术洞察力，具有国际化视野，对学术界和工业界新技术具备敏感度，能够合理利用外部资源，转化到产品，最终达成商业成功； 5、担任过相关领域公司CTO、Fellow或架构首席，主导过大型产品的设计与开发者优先考虑； 6、担任国际会议主席，有成功组织关键技术研究、技术规划、行业交流与合作的优先考虑。  语言要求： 简体中文；英语  教育背景要求: 本科以上学历，计算机相关专业,中国/北京,计算北研（模块）,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15906&dataSource=1
产品销售助理,营销族,1、收集产品销售商机，高潜用户、场景识别，机会点挖掘和跟踪。 2、面向运营商基层客户和设计院的客户沟通与交流，销售项目的落地流程跟踪等。 3、开展中基层标准产品的品牌和特性指标技术交流，创新产品测试等试点工作，赋能客户。 4、组织新赛道及相关产品品牌活动，支撑业务经营/格局/竞争目标达成。 5、负责5G商业发展项目及简单场景的品牌、运营等营销活动的策划落地及总结等。 6、支撑5G商业发展标杆运营局点复制，总结孵化和运营经验，助力项目持续运营经验。,1、本科及以上学历，了解5G/接入网/计算/云/存储/DC/通信能源等相关解决方案。 2、深入理解本产品域基本原理和知识，对产品域解决方案有比较深入的理解与应用。 3、了解产业格局和友商产品方案、市场动态；熟悉本产品领域先进的发展方向。 4、熟练掌握运营整体相关知识，比如：产品运营、活动运营、数据运营等。 5、熟练掌握品牌、数字化营销基础流程，有一定的品牌和数字营销经验。 6、2年及以上ICT行业从业经验，具备产品售前、售后或研发的经验，有一定的项销售项目运作经验。,中国/大同,山西运营商区域解决方案拓展,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15056&dataSource=1
产品销售助理,营销族,1、收集产品销售商机，高潜用户、场景识别，机会点挖掘和跟踪。 2、面向运营商基层客户和设计院的客户沟通与交流，销售项目的落地流程跟踪等。 3、开展中基层标准产品的品牌和特性指标技术交流，创新产品测试等试点工作，赋能客户。 4、组织新赛道及相关产品品牌活动，支撑业务经营/格局/竞争目标达成。 5、负责5G商业发展项目及简单场景的品牌、运营等营销活动的策划落地及总结等。 6、支撑5G商业发展标杆运营局点复制，总结孵化和运营经验，助力项目持续运营经验。,1、本科及以上学历，了解5G/接入网/计算/云/存储/DC/通信能源等相关解决方案。 2、深入理解本产品域基本原理和知识，对产品域解决方案有比较深入的理解与应用。 3、了解产业格局和友商产品方案、市场动态；熟悉本产品领域先进的发展方向。 4、熟练掌握运营整体相关知识，比如：产品运营、活动运营、数据运营等。 5、熟练掌握品牌、数字化营销基础流程，有一定的品牌和数字营销经验。 6、2年及以上ICT行业从业经验，具备产品售前、售后或研发的经验，有一定的项销售项目运作经验,中国/运城,山西运营商区域解决方案拓展,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15061&dataSource=1
产品销售助理,营销族,1、收集产品销售商机，高潜用户、场景识别，机会点挖掘和跟踪。 2、面向运营商基层客户和设计院的客户沟通与交流，销售项目的落地流程跟踪等。 3、开展中基层标准产品的品牌和特性指标技术交流，创新产品测试等试点工作，赋能客户。 4、组织新赛道及相关产品品牌活动，支撑业务经营/格局/竞争目标达成。 5、负责5G商业发展项目及简单场景的品牌、运营等营销活动的策划落地及总结等。 6、支撑5G商业发展标杆运营局点复制，总结孵化和运营经验，助力项目持续运营经验。,1、本科及以上学历，了解5G/接入网/计算/云/存储/DC/通信能源等相关解决方案。 2、深入理解本产品域基本原理和知识，对产品域解决方案有比较深入的理解与应用。 3、了解产业格局和友商产品方案、市场动态；熟悉本产品领域先进的发展方向。 4、熟练掌握运营整体相关知识，比如：产品运营、活动运营、数据运营等。 5、熟练掌握品牌、数字化营销基础流程，有一定的品牌和数字营销经验。 6、2年及以上ICT行业从业经验，具备产品售前、售后或研发的经验，有一定的项销售项目运作经验,中国/太原,山西运营商区域解决方案拓展,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15066&dataSource=1
储能管理系统专家,研发族,"标准职责: 1. 负责某主力产品V版本中电源子系统的设计与实现，所设计和测试的产品系统方案经实践证明是成熟稳定的；解决领域内复杂的、重大的问题， 2. 或承担某个能源产品V版本硬件相关领域的设计、技术规划与创新，确保本领域技术发展方向的正确和可持续发展，且相应规划在产品中落地。并拉动工程领域（互连、散热、结构，工艺等）进步，所负责主力产品的效率以及安规、EMC、互连、等工程质量和早/中期返还率、单板健康度、生产直通率、设计成本等指标公司领先。  3.产品系统设计在前端得到充分验证，提前发现架构设计潜在关键缺陷，输出创新DFX方案 自定义职责: 储能业务快速发展，应用场景日趋复杂，电站储能、工商业储能、数据中心储能、充电场站储能、户用储熊等不同场景储能系统的竞争力面临诸多挑战，需要不断的根据系统设计和创新提升产品竞争力，相关技术涉及算法，调度，电池、温控，消防，系统集成、可靠性等多个领域；希望通过引入业界明白人，在系统架构设计、根技术创新方面提前布局，通过不断的技术创新引领竞争力持续领先；||""1、熟悉储能系统设计方案和功能特性等；负责储能领域产品路标规划、竞争力方向制定、平台架构规划，产品开发工作，看护产品技术方案和项目开发交付，对产品竞争力负责 2、具有两款以上电动车电池系统的开发与设计经验，并形成量产规模发货 3、负责储能系统产品开发工作，看护产品技术方案和项目开发交付，对项目交付进度、质量、成本负责。 4、负责储能产品电芯/PACK/系统等应用设计开发、锂离子电池技术研究、BMS算法研究、多物理量建模、AI数据驱动算法等。""","语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: ""1、负责储能系统主力版本开发，完成需求分析和方案设计输出。其交付的项目，竞争力业内领先。 2、负责重大问题定位分析并拉通解决，指导电芯/PACK/结构/功率/BMS/算法等部件设计能力提升。 3、负责储能领域产品路标规划、竞争力方向制定、平台架构规划，产品开发工作，看护产品技术方案和项目开发交付，对产品竞争力负责 4、负责储能系统产品开发工作，看护产品技术方案和项目开发交付，对项目交付进度、质量、成本负责。 5、负责储能产品电芯/PACK/系统等应用设计开发、锂离子电池技术研究、BMS算法研究、多物理量建模、AI数据驱动算法等。""  能力要求:  知识要求: ""1、熟悉储能材料体系/电池/PACK结构/配电/功率/BMS软硬件/算法等其中多项相关知识； 2、熟悉储能产品电芯/PACK/系统等应用设计开发、锂离子电池技术研究、BMS算法研究、多物理量建模、AI数据驱动算法等其中多项相关知识； ""  专业证书要求:  其他要求: ",中国/上海,数字能源储能系统产品部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=9801&dataSource=1
储能系统安全高级专家（首席）,研发族,一【岗位职责】：作为储能系统安全领军人，主导储能安全方向规划，储能系统安全基线和方案决策，储能安全风险评估和优化方案决策。具体描述如下： 1.主导储能系统安全方向规划，引领技术方向：主导全场景，全生命周期储能系统技术方向规划，以及关键技术方向决策。 2.主导储能安全技术规划和决策：主导储能安全技术规划。如，锂电热扩散抑制、电池故障诊断、热失控预警、内置消防模块技术研究、安装级储能系统探、控、排、消、泄技术规划和研究。 3.主导储能系统安全方案设计和决策：主导储能系统安全方案设计，全生命周期储能安全技术创新，如，安全检测，主动防护，被动防护，消防等方案突破和落地，达成储能安全目标。 4.构建行业影响力：作为储能安全首席Speaker和科技外交家，引导储能行业安全方向，牵引储能安全技术进步和储能行业高质量健康发展。 二【关键能力要求】： 1.储能行业技术影响力：具备丰富的储能安全行业知识，在行业具备领导力。 2.技术洞察力：需要具备洞察产业趋势的能力，有深刻理解客户诉求，提供差异化竞争力的解决方案。 3.技术创新能力：具备把电气安全、热安全、环境控制、消防、防爆技术整合形成整体解决方案的能力。 三【关键经验要求】： 必选：||1.成功的储能产品安全设计经验：前瞻性储能安全技术规划成功经验，有负责储能系统安全设计经验，有行业成功案例。||2.关键技术创新和突破成功经验：成功在储能领域安全技术上取得断代创新，形成知识产权护城河。 优选：||1.市场客户界面成功经验：理解和把握客户需求/痛点，有成功引导客户高层技术决策的经验。||2.主持/参与技术项目并获得良好的研究成果。 四【特质要求】： 勇于创新、开放协作、持续学习,语言要求: 简体中文 教育背景要求: 本科及以上 技能要求: 1.具备丰富的储能安全行业知识，在行业具备领导力； 2.需要具备洞察产业趋势的能力，有深刻理解客户诉求，提供差异化竞争力的解决方案。 3.具备把电气安全、热安全、环境控制、消防、防爆技术整合形成整体解决方案的能力。 知识要求: 具备锂电热扩散抑制、电池故障诊断、热失控预警、储能系统探、控、排、消、泄相关领域的知识背景和积累；,中国/东莞,数字能源储能系统产品部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=10371&dataSource=1
渠道销售专员,销售族,定位: 1、协助商业渠道销售策略的执行落地，拓展、维护好渠道； 2、区县营销活动执行。 职责: 1、在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 2、基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 3、参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 4、基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成； ,1、教育背景要求:本科学历及以上 2、优先的经验：有政企市场工作经验，有渠道拓展/销售成功经验；项目运营经验等； 3、知识要求:原则上需具备计算机、网络、通信、电子、信息等相关专业背景； 熟悉网络、IT、安防、视频会议、数字能源等ICT相关产品，有相关厂商/专业机构证书的优先 4、其他要求:敢于挑战，较强的执行力 ,中国/忻州,山西政企商业销售,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=14568&dataSource=1
行业解决方案架构师,服务族,标准职责: 1、深刻理解公路/城市交通/轨道行业发展趋势，通过对城市交通行业中长期战略意图、未来发展走向深刻洞察市场，有效推动关键行业业务场景的发展愿景，主导军团城市交通领域的能力积累和创新工作，为城市交通领域中长期经营业绩带来专业化和显著的影响，实现行业领先格局； 2、聚焦卓战NA客户，作为客户数字化转型的参谋和顾问，参与客户的规划与设计，把握客户数字化转型的节奏、范围和边界，使能客户数字化转型，提升行业影响力； 3、具备与ZF部门top1、主管部门一把手以上级别沟通对话能力，牵引城市交通规划、客户数字化转型，树立愿景，评审架构，构建行业影响力； 4、洞察市场，解读NA客户商业策略及痛点，具有全球化视野，有效的提出该领域或行业的数字化转型规划发展策略，引领和推动该领域或行业未来的咨询规划服务发展方向； 5、主导城市交通数字化/智能化的能力创新和积累工作，通过规划设计实现公路行业的创新和突破，树立重大标杆和突破，并对军团产生重大商业价值。,语言要求: 简体中文 教育背景要求: 符合岗位要求 ,中国/上海,交通智慧化军团解决方案开发与集成验证部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=13626&dataSource=1
Transformer Next 资深科学家,研发族,1、制定并引领大模型学习理论的研究路线图，深入探索大模型相关核心概念，以及它们在提升模型性能和效率方面的应用；通过跨学科合作，将理论成果转化为创新的算法和技术，从而推动大模型在实际应用中的突破性进展。 2、领导团队设计创新的大模型架构，专注于提升模型的可扩展性、计算效率和内存使用效率；确保新架构不仅能够适应大规模数据和复杂任务，而且与最新计算硬件紧密配合，实现性能最大化；同时，确保架构的灵活性，以支持包括自然语言处理、计算机视觉在内的多种应用场景。 3、紧密结合公司业务目标和市场动态，制定和执行大模型技术的战略规划；通过与业务团队的紧密合作，确保技术创新与市场需求同步，加速技术成果的商业化进程；推动大模型技术在公司产品中的应用，以实现业务增长和提升市场竞争力。 ,教育背景：计算机、人工智能、统计学、应用数学、电子信息等专业背景博士毕业。 工作经验：10年+机器学习等相关研究经验。 专业技能：在大模型理论和基础模型尤其是大模型架构设计和高效训练领域有出色的研究成果；把握学术界和工业界机器学习研究动态；在机器学习研究领域有较高的影响力，能快速获取业界的技术资源，并转化成内部竞争力。 关键经验：能理解业界主流技术路线背后的商业潜力及其对公司大模型前沿技术和架构设计领域研究策略的影响，识别技术创新机会点和挑战。 ,中国/深圳,诺亚方舟实验室,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=13556&dataSource=1
应用安全技术资深专家,研发族,1、负责跟踪业界在应用安全领域（云应用、移动应用、IoT/IoV嵌入式应用等）的前沿技术，识别和引进先进技术与工具，洞察和开展对业务有高价值的新研究方向。 2、主导应用安全相关的公司平台和产品及解决方案的架构设计及评审，进行应用安全能力建设，降低和消减公司产品在应用层的安全风险，构建产品在应用层的安全技术竞争力。 3、负责部门应用安全的规划，引领团队的技术方向。,1、精通应用自身安全防护技术，精通应用层的隔离和访问控制等保护技术、应用层威胁分析和检测防御技术，有实际的应用安全（云应用安全、移动应用安全等）项目经验。 2、 熟悉应用攻防能力，熟悉应用层的漏洞利用方法及漏洞挖掘和分析等技术。 3、 熟悉掌握AI安全技术应用优先。 4、 熟悉网络安全技术，熟悉主流攻击和检测防御技术。,中国/杭州,应用安全技术实验室,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=13422&dataSource=1
